company_name,founded_on,industry,headquarters,founder_experience,total_funding_usd,num_funding_rounds,investors_count,last_funding_date,status
Mason-Simmons,2017-04-23,Gaming,US,5.0,12227693,1,5,2019-11-29,fail
"Boyd, Lyons and Johnson",2021-01-06,,Canada,2.0,27616109,3,5,2022-09-05,fail
Tucker-Torres,2020-11-18,EdTech,US,0.0,8905232,1,3,2024-09-25,fail
Thompson and Sons,2017-10-28,EdTech,Germany,6.0,10851624,1,3,2019-03-09,success
"Heath, Chen and Ruiz",2012-05-06,AI,India,0.0,21837518,2,3,2022-01-17,fail
"Lane, Wilson and Robinson",2018-05-31,AI,India,7.0,36728887,5,10,2023-03-19,success
Lopez PLC,2021-12-24,Biotech,US,4.0,33780046,2,7,2023-02-02,fail
"Gardner, Manning and Hayes",2022-05-14,E-Commerce,US,2.0,11643041,2,7,2025-03-31,success
Ross-Mack,2019-05-11,,US,6.0,15895371,1,4,2025-03-31,fail
"Jackson, Camacho and Myers",2019-04-04,HealthTech,US,4.0,26189526,3,4,2025-03-31,fail
Hughes-Richardson,2021-01-20,Biotech,Israel,,44342835,5,8,2025-03-31,success
Harris Inc,2012-08-22,FinTech,US,1.0,13722704,1,4,2015-07-15,fail
Moreno and Sons,2010-09-17,SaaS,India,28.0,21770564,3,5,2017-03-01,fail
"Spencer, Warner and Porter",2012-09-19,Biotech,India,11.0,39423913,3,5,,fail
Smith-Graves,2015-08-20,HealthTech,India,0.0,17910959,2,2,2024-06-04,success
"Franklin, Diaz and Brown",2016-09-03,SaaS,Israel,3.0,8619222,3,6,2022-05-12,fail
Lucas Group,2017-05-16,E-Commerce,US,9.0,18204344,6,2,2024-03-11,fail
Johnson-Quinn,2020-01-29,,Singapore,0.0,18475441,1,3,2022-12-17,fail
"Thomas, Becker and Cox",2022-07-13,FinTech,Singapore,4.0,15250936,2,5,2025-03-31,success
Gardner Ltd,2014-06-01,EdTech,US,1.0,7759564,3,2,2017-03-02,fail
Decker and Sons,2011-09-30,E-Commerce,US,1.0,12830524,2,3,2017-09-11,fail
Kent and Sons,2012-03-04,HealthTech,US,0.0,17055927,2,3,2018-03-25,fail
"Fitzpatrick, Wall and Sellers",2020-03-21,Gaming,Singapore,6.0,9442795,2,4,2025-03-31,success
"Martinez, Tate and Williamson",2014-12-07,,India,4.0,24129043,8,5,2020-07-01,fail
Jones-Wagner,2014-06-26,EdTech,US,7.0,10430454,1,7,2019-11-23,fail
Mckenzie Ltd,2022-03-21,Biotech,US,10.0,33031000,3,5,2025-03-31,fail
Doyle and Sons,2022-01-26,HealthTech,Singapore,6.0,19907969,4,4,2025-03-31,fail
Stephens PLC,2021-03-19,E-Commerce,Singapore,27.0,27563435,5,6,2022-07-04,fail
"Moody, Carr and Davis",2021-01-25,AI,US,0.0,27763557,8,3,2025-03-31,fail
"Rodgers, Booker and White",2015-01-09,FinTech,Israel,12.0,35697874,2,6,2021-12-15,fail
"Best, Bullock and Bauer",2014-08-05,Gaming,US,1.0,13682177,1,6,2024-03-27,fail
"Meza, Sherman and Ward",2020-05-16,E-Commerce,India,5.0,15267258,1,1,2025-03-31,fail
"Reed, Peterson and Rodriguez",2018-06-19,AI,Singapore,6.0,34103322,3,5,2020-06-18,fail
Wilson PLC,2014-03-05,FinTech,UK,1.0,17228485,2,3,2016-07-26,fail
"Barnett, Kerr and Moody",2021-06-30,E-Commerce,Singapore,2.0,14888034,5,3,2025-02-05,fail
David-Owen,2019-07-19,SaaS,UK,0.0,19322937,3,4,2021-09-21,success
Good Group,2019-06-05,E-Commerce,US,1.0,15544929,1,6,2025-03-31,fail
Mcgee-Lawrence,2017-10-20,HealthTech,India,5.0,11438154,2,4,2024-09-06,fail
"White, Johnson and Nichols",2011-11-18,EdTech,Germany,2.0,8141109,3,6,,success
Mcgee Group,2019-09-05,,UK,1.0,33782874,6,7,2025-03-31,fail
Woods Ltd,2018-07-20,Biotech,India,1.0,32583992,3,7,2025-03-31,fail
Williams PLC,2020-01-19,E-Commerce,India,4.0,14815847,5,3,2025-03-31,fail
"Schultz, Poole and Hodge",2011-04-29,FinTech,US,4.0,19380248,1,8,2018-10-10,success
"Gutierrez, Lin and Allen",2012-04-23,SaaS,US,2.0,12213510,1,2,2017-02-01,fail
Johnson LLC,2021-03-21,SaaS,Israel,5.0,20282393,4,5,2025-03-31,fail
Rodriguez Inc,2011-09-09,E-Commerce,India,1.0,16016931,3,4,2016-07-25,fail
Wang-Burns,2017-08-08,Gaming,US,0.0,10267525,1,2,2019-03-04,fail
"Brown, Garrison and Good",2013-04-22,EdTech,India,5.0,11170381,4,2,2015-08-23,fail
"Watts, Williams and Durham",2010-11-01,SaaS,US,0.0,14646473,7,3,2014-01-26,fail
"Martin, Williamson and Ramsey",2017-03-05,E-Commerce,India,3.0,15952482,1,5,2024-01-26,success
Mcclain-Lucero,2015-01-10,AI,India,3.0,30398581,2,6,2022-01-11,fail
Duarte-Green,2015-04-18,AI,US,15.0,36895039,6,8,2022-10-28,fail
Luna-Allison,2012-04-07,SaaS,US,8.0,25165125,6,5,2017-08-23,success
Smith-Wright,2013-10-20,E-Commerce,US,0.0,12856076,1,5,2014-11-24,fail
Alvarado-David,2015-11-11,E-Commerce,Israel,2.0,9092257,8,9,2023-03-06,success
Edwards Ltd,2013-10-30,SaaS,US,4.0,24648281,1,3,,fail
Townsend-Hall,2021-12-19,EdTech,US,2.0,3632221,3,5,2025-03-31,success
Rosales and Sons,2010-05-13,SaaS,US,8.0,20141829,7,7,2015-09-21,fail
Gonzalez-Donaldson,2019-07-02,AI,US,0.0,23152439,4,3,2023-12-01,success
"Townsend, Wood and Ferguson",2018-06-04,SaaS,US,1.0,10929452,3,5,2025-03-31,fail
"Castillo, Lee and Newman",2017-08-06,Biotech,US,6.0,11889625,1,4,2023-09-03,fail
"Gonzales, Lee and Carpenter",2011-05-21,Biotech,Singapore,1.0,40781223,3,10,2021-05-17,fail
"Williams, Williams and Salazar",2011-04-21,E-Commerce,US,8.0,21069819,1,4,2017-05-22,success
Gonzalez Group,2019-07-07,AI,US,1.0,22116820,2,5,,fail
"Hernandez, Rivas and Key",2020-10-05,,Israel,1.0,22833290,5,6,2025-01-01,fail
Fisher LLC,2011-03-25,AI,Canada,,27172775,2,2,2020-03-19,success
Pollard-Paul,2021-06-30,E-Commerce,US,3.0,12382337,3,8,2025-03-31,success
Thomas-Russo,2014-02-05,Biotech,Israel,1.0,22817318,5,7,2020-01-15,fail
Marquez Inc,2013-12-30,FinTech,Germany,0.0,18582475,2,5,2021-08-01,fail
Richardson Ltd,2015-03-03,SaaS,US,7.0,15225857,5,2,2025-01-19,fail
Hughes Group,2018-11-15,FinTech,UK,10.0,20415631,1,5,2025-02-11,success
"Anderson, Hughes and Alvarado",2015-10-27,AI,Israel,,29313414,2,4,2023-01-20,success
"Rose, Hall and Sparks",2021-01-28,E-Commerce,US,0.0,12048294,3,3,2023-01-26,fail
"Skinner, Casey and Davis",2022-03-15,AI,US,9.0,38039865,2,7,2025-03-31,fail
"Bonilla, Valdez and Brown",2019-12-30,E-Commerce,India,0.0,10945580,1,7,2025-03-31,success
Mcneil Ltd,2020-07-16,E-Commerce,Canada,2.0,12484269,1,7,2025-03-31,fail
Parks-Houston,2018-12-23,FinTech,India,3.0,33492917,4,6,2024-12-25,success
Porter and Sons,2018-03-20,E-Commerce,US,1.0,14717441,2,5,2023-05-13,fail
"Cross, Molina and Taylor",2015-05-30,AI,US,5.0,10600638,3,4,2022-11-30,fail
Lopez PLC,2013-12-06,Gaming,Canada,1.0,12091943,1,4,2021-12-12,success
Howard Group,2010-03-19,AI,US,6.0,27696968,2,6,2014-09-01,success
Sampson-Mason,2021-11-21,E-Commerce,Singapore,8.0,16665431,6,2,2025-03-31,fail
"Reese, West and May",2022-02-22,E-Commerce,Canada,4.0,19209315,8,3,2025-03-31,success
Smith Group,2014-08-18,E-Commerce,UK,6.0,19807623,1,4,2018-04-25,success
"Mack, Russo and Crawford",2014-04-26,E-Commerce,US,1.0,14118443,2,2,2017-01-05,fail
Kidd-Garcia,2016-10-07,HealthTech,US,9.0,21835171,2,3,2025-03-31,fail
Weber PLC,2018-12-31,,UK,19.0,25242689,5,6,2021-06-26,fail
"Hill, Silva and Robinson",2017-06-18,EdTech,India,5.0,9813524,2,1,2023-11-21,success
"Delgado, Gould and Johnson",2018-10-31,FinTech,India,1.0,16854636,1,3,2025-03-31,fail
Jones Group,2017-10-14,FinTech,Canada,10.0,20487723,1,9,2025-01-09,fail
Gomez-Chavez,2017-09-01,FinTech,India,4.0,23092925,3,8,2020-07-23,fail
"Jenkins, Spencer and Rhodes",2021-12-07,SaaS,India,3.0,13768312,5,2,2023-04-11,fail
"Townsend, Brown and Skinner",2015-12-22,AI,Israel,5.0,27407617,1,5,2025-03-31,fail
Robertson PLC,2019-01-23,SaaS,US,,11859328,2,4,2025-03-31,success
Pineda-Richards,2018-02-14,SaaS,US,4.0,17713700,2,6,2022-08-15,fail
"Clark, Parker and Little",2014-08-03,E-Commerce,India,4.0,5879196,8,2,2019-07-30,fail
Myers and Sons,2012-03-10,Gaming,India,1.0,9630811,1,3,2019-01-17,fail
"Prince, Nichols and Hernandez",2012-04-12,E-Commerce,US,20.0,18388195,2,5,2018-07-13,success
Miller-Gray,2016-07-14,E-Commerce,Singapore,,9655876,1,4,2023-02-12,fail
"Johnson, Pitts and Warner",2018-04-17,SaaS,India,8.0,16926356,1,5,2021-04-09,fail
"Frey, Hernandez and Molina",2018-05-19,Biotech,India,1.0,27996482,5,4,2025-02-16,fail
Anderson-Middleton,2022-01-30,FinTech,UK,13.0,32357879,2,5,2025-03-31,fail
Delacruz-Williams,2017-12-30,EdTech,Singapore,10.0,10278244,5,2,2020-04-16,success
Brown LLC,2010-05-22,SaaS,Canada,18.0,31753333,3,5,2015-01-02,fail
Lowe LLC,2015-02-10,EdTech,UK,13.0,10408625,1,5,2022-06-11,success
Padilla Ltd,2019-05-07,AI,US,5.0,32553224,2,9,2020-10-01,success
Robinson-Riggs,2010-05-11,FinTech,US,0.0,14154263,1,4,2020-03-22,success
"Weber, Bell and Hensley",2020-08-06,E-Commerce,India,6.0,18672393,3,6,,fail
Espinoza-Zimmerman,2010-04-07,FinTech,US,5.0,23747816,4,8,2012-05-06,success
Jacobs PLC,2015-10-07,FinTech,Canada,2.0,28684089,4,3,2023-01-26,success
Davis-Leon,2013-08-07,FinTech,US,6.0,25896243,5,8,2015-03-29,fail
Prince-Williams,2022-08-26,AI,Singapore,1.0,20044010,1,8,2025-03-31,fail
Ruiz-Johnson,2018-11-02,HealthTech,India,,12012113,2,10,2025-03-31,fail
Anderson-Farley,2015-08-27,AI,UK,0.0,30220695,4,4,2025-03-31,fail
Huber Group,2012-11-23,E-Commerce,US,2.0,21276930,1,8,2021-11-05,fail
Barrett-Jones,2019-02-22,SaaS,India,8.0,17076127,3,2,2020-08-12,success
Rodriguez Group,2019-05-13,Biotech,US,5.0,32380594,5,3,2022-12-25,success
Pratt LLC,2021-03-30,Gaming,US,4.0,8916819,2,5,2025-03-31,fail
"Bauer, Klein and Taylor",2017-07-07,HealthTech,US,1.0,14349271,1,5,2024-08-01,success
Zimmerman-Myers,2016-08-25,FinTech,US,2.0,26788355,8,5,2025-03-31,success
Diaz PLC,2022-06-22,FinTech,US,9.0,19487487,8,6,2025-03-31,fail
Schroeder Inc,2016-05-31,AI,US,0.0,20293984,1,8,2020-12-30,fail
"Norman, Osborne and Duffy",2019-06-29,FinTech,Israel,7.0,26678308,5,4,2025-03-31,success
"Pollard, Walker and Thomas",2020-12-01,FinTech,Germany,0.0,17443049,8,2,,fail
Smith Ltd,2010-10-24,FinTech,Germany,8.0,21234111,4,3,2014-08-24,success
"Stevens, Harris and Hill",2017-12-18,FinTech,India,1.0,18413558,1,7,2019-06-02,success
"Green, Guzman and Rios",2022-09-11,E-Commerce,US,3.0,10861402,1,4,2024-05-06,fail
Gentry Inc,2014-05-09,SaaS,US,9.0,18314969,3,5,2015-10-03,fail
Moore LLC,2010-04-28,SaaS,US,1.0,15116021,8,6,2020-01-03,fail
Perez LLC,2022-10-16,HealthTech,US,5.0,20802243,2,5,2025-03-31,fail
Herrera-Pena,2019-11-03,AI,India,0.0,25920131,3,4,2025-03-31,fail
Bryant Group,2015-02-25,FinTech,Germany,1.0,16209502,1,5,2018-05-02,fail
Ingram-Cox,2015-05-27,E-Commerce,India,1.0,16904305,1,3,2017-04-28,success
Hines-Yates,2020-11-25,HealthTech,US,2.0,12481220,4,2,2025-03-31,fail
"Rodriguez, Harrison and Chavez",2022-10-19,,UK,8.0,21140686,5,3,2025-03-31,success
Smith LLC,2012-04-30,E-Commerce,US,,13208925,5,7,2020-05-07,fail
Foster-Thomas,2020-05-14,Biotech,Canada,1.0,23342654,2,4,2025-03-31,fail
Mckee-Bennett,2010-10-31,EdTech,Singapore,,6275491,1,3,2013-09-22,fail
"Jones, Miller and Avila",2013-04-25,FinTech,US,2.0,18074662,4,4,2022-11-14,fail
Bradford-Baker,2021-11-21,FinTech,Canada,7.0,22001304,8,9,2025-03-31,success
"Mcdonald, Holt and Moss",2017-04-29,,US,6.0,22199160,1,4,2020-09-05,success
Berg Ltd,2012-07-01,FinTech,India,5.0,26070413,4,4,2019-09-25,fail
Kelley-Durham,2015-01-04,SaaS,UK,2.0,13626044,3,2,2019-02-26,success
Nguyen Group,2011-11-15,Biotech,US,2.0,28140878,1,5,2016-08-14,success
Powers-Lynch,2018-02-06,SaaS,US,10.0,20175726,3,4,2019-03-25,fail
Rios-Mendez,2021-08-15,HealthTech,India,,19784420,2,4,,fail
Curtis-Bishop,2014-01-11,EdTech,US,10.0,9467794,1,3,2021-02-07,success
White-Watkins,2013-12-29,AI,India,0.0,18786613,1,2,2020-08-17,success
King-Smith,2010-12-25,AI,Singapore,0.0,18965647,2,5,2019-05-18,fail
Ford-Odonnell,2010-02-21,Biotech,US,4.0,22074755,1,5,2018-12-16,fail
Summers-Lee,2019-05-21,AI,India,4.0,19534309,4,5,2024-05-23,fail
Johnson Group,2021-05-05,E-Commerce,Canada,2.0,20138433,3,8,2023-06-25,fail
"York, Williams and Garcia",2012-12-11,E-Commerce,India,0.0,7338610,1,4,2017-05-28,success
Lloyd-Young,2014-05-17,Gaming,US,5.0,16801131,3,4,2024-03-04,fail
Welch-Kelly,2016-06-21,FinTech,US,17.0,24790910,1,4,2021-09-09,fail
Mitchell-Carter,2018-11-09,SaaS,UK,2.0,14611526,3,4,2024-03-04,fail
"Ramirez, Moore and Stokes",2011-04-08,FinTech,US,4.0,23229920,6,3,2017-10-31,success
"Lopez, Brown and Terrell",2016-04-11,E-Commerce,India,6.0,22991294,8,4,2022-06-02,success
"Maldonado, Reynolds and Randall",2021-01-05,EdTech,Singapore,1.0,8857177,2,2,2025-03-31,fail
Kelley-Sellers,2015-03-29,SaaS,India,3.0,13600091,1,6,2020-01-27,fail
"Fields, Thomas and Cox",2014-11-15,,US,4.0,11871597,1,3,2019-11-04,fail
Norton-Drake,2013-03-30,E-Commerce,US,7.0,8793506,3,8,2022-02-05,fail
Richardson-Ford,2021-12-29,EdTech,US,6.0,10439707,1,3,2025-03-31,fail
Duncan-Ramirez,2020-10-29,FinTech,US,4.0,28487621,2,6,2025-03-31,success
Martinez-Barnett,2011-03-09,AI,India,0.0,35099686,6,4,,fail
Smith Ltd,2017-01-24,AI,US,1.0,17497165,5,4,2025-03-31,fail
"Pierce, Green and Richardson",2018-02-13,E-Commerce,US,14.0,21603536,3,3,2025-03-31,fail
"Martin, Hall and Barajas",2015-12-22,FinTech,India,10.0,27264858,2,3,2018-10-31,fail
Riddle-Henderson,2020-08-26,AI,India,,31065753,2,6,2022-08-20,fail
Berry Inc,2011-12-16,E-Commerce,US,7.0,16110165,1,2,2014-12-27,fail
Bullock-Burke,2022-05-19,Biotech,US,9.0,42763835,7,6,2025-02-09,success
"Rollins, Neal and Bush",2022-04-21,EdTech,Singapore,0.0,7411122,8,5,2024-09-05,fail
"Bennett, Kelly and Meyer",2022-11-03,AI,US,6.0,29773771,4,4,2025-03-31,success
Donaldson-Simmons,2010-09-21,E-Commerce,US,20.0,23030813,4,4,2017-09-07,fail
Sullivan Ltd,2019-02-25,E-Commerce,US,14.0,17654390,2,6,2023-06-03,fail
Morrison-Garcia,2013-11-23,AI,Germany,3.0,30557760,4,6,2020-02-24,success
"Ramirez, Huff and Edwards",2011-11-24,,Canada,2.0,24209890,2,9,2018-09-16,fail
"Gilbert, Martin and Browning",2013-11-02,FinTech,India,5.0,21717216,4,8,2018-05-16,fail
Henry Inc,2017-03-20,,India,6.0,24823857,2,7,2019-03-18,fail
"Curry, Robinson and Wilcox",2022-12-15,HealthTech,Canada,7.0,21968820,3,4,2024-06-26,fail
"Perez, Stone and Obrien",2015-09-12,AI,Israel,0.0,27856486,2,8,,fail
Gonzalez PLC,2017-12-26,E-Commerce,US,1.0,8972209,1,1,2025-03-31,success
Lowe-Jackson,2021-09-16,HealthTech,US,1.0,14032733,1,4,2025-03-31,success
"Miller, Palmer and Hall",2019-07-15,AI,US,7.0,27291636,4,8,,success
Stephens PLC,2021-01-26,HealthTech,Singapore,6.0,14600018,2,2,2025-03-31,success
Welch and Sons,2022-01-06,Biotech,US,4.0,32157232,5,6,2025-03-31,success
Johnson Inc,2020-01-01,E-Commerce,US,1.0,7388435,1,1,2025-03-31,fail
"Andrews, Carlson and Flores",2016-08-24,SaaS,US,,15727762,4,4,2018-07-05,success
"Phillips, Moore and Burton",2022-01-01,E-Commerce,US,3.0,16103251,1,5,2025-03-31,fail
Wells Group,2013-03-11,HealthTech,US,0.0,16798407,7,5,2018-02-21,fail
"Gordon, Dunn and Rose",2020-09-02,E-Commerce,India,5.0,9820905,3,1,2025-03-31,fail
"Holland, Russell and Rodriguez",2012-04-16,FinTech,India,3.0,23050848,4,6,2019-03-19,success
Freeman-Blair,2013-05-30,E-Commerce,Germany,,18456628,2,2,2016-09-09,success
"Hoffman, Schmidt and Green",2012-11-07,HealthTech,US,3.0,17834012,1,4,2016-06-30,fail
Dean LLC,2021-11-18,Gaming,US,14.0,16079265,2,8,2025-03-31,success
Sweeney-Santana,2017-04-12,EdTech,Germany,6.0,9283353,3,4,2019-11-06,success
Martinez PLC,2016-11-22,SaaS,Canada,4.0,13314084,2,2,2020-08-12,fail
Baker-Byrd,2014-12-31,AI,US,4.0,21528489,8,5,2016-08-24,fail
Weber Group,2021-03-17,SaaS,US,0.0,12498100,1,3,2024-06-03,fail
Guzman-Jennings,2011-01-24,Biotech,UK,7.0,49146360,4,8,2015-03-11,fail
Fletcher-Diaz,2019-02-17,AI,India,4.0,30988171,3,6,2025-03-31,success
Walker-Turner,2013-03-20,HealthTech,India,3.0,15019062,3,1,2020-05-05,fail
Garcia PLC,2021-06-14,FinTech,UK,3.0,23372676,1,4,2025-03-31,fail
Butler and Sons,2021-01-02,Biotech,Canada,4.0,29835824,4,4,2025-03-31,success
Salazar PLC,2019-09-26,HealthTech,India,0.0,18305927,1,3,2022-12-27,fail
Jackson-Ritter,2020-06-04,SaaS,US,2.0,9731473,1,6,2021-11-01,success
Stevens Ltd,2020-04-10,E-Commerce,Israel,9.0,9896309,1,3,2024-02-25,fail
Baker LLC,2022-08-12,FinTech,US,6.0,27525612,2,7,2025-03-19,success
"Cobb, Conrad and Conley",2020-04-01,FinTech,US,13.0,22171624,3,4,2025-03-31,success
Hampton Inc,2018-07-05,E-Commerce,Canada,5.0,19732113,4,5,2025-03-31,fail
"Chavez, Peters and Green",2016-06-11,EdTech,India,12.0,15303158,1,6,2021-12-19,fail
Saunders and Sons,2016-02-12,E-Commerce,Israel,1.0,6383836,7,2,2020-02-16,fail
Johnson-Castro,2013-02-21,E-Commerce,US,1.0,9183224,1,2,2015-06-20,fail
Mcintyre-Johnson,2022-08-16,EdTech,UK,3.0,11337135,2,4,2025-03-31,success
"Cardenas, Jennings and Garrett",2016-11-28,FinTech,US,2.0,6814215,1,4,2020-02-14,success
"Diaz, Duncan and Faulkner",2011-12-26,SaaS,Israel,4.0,17578863,2,2,2016-10-26,fail
Potter-Walton,2011-02-18,AI,UK,3.0,17724632,2,4,2012-04-18,success
Thomas-Brennan,2021-02-17,FinTech,UK,0.0,24835124,8,7,2022-10-18,success
Glover Group,2021-11-03,E-Commerce,US,7.0,23576175,2,5,2024-03-13,fail
Foster Inc,2013-05-24,Biotech,US,0.0,25649221,4,6,,success
Romero-Duncan,2013-07-05,E-Commerce,US,24.0,26149595,3,3,2018-02-18,fail
Scott and Sons,2012-05-12,E-Commerce,US,10.0,15751347,5,3,2021-01-17,fail
Edwards-Mcclure,2021-10-24,SaaS,US,9.0,22054431,1,6,2025-03-31,fail
Lee-Allen,2015-05-16,E-Commerce,Israel,0.0,13604387,3,7,2016-09-11,fail
Savage Ltd,2017-06-18,Gaming,UK,26.0,10371216,5,10,2024-08-18,success
Young Ltd,2011-03-03,HealthTech,US,11.0,28912811,3,4,2013-03-23,success
May Group,2016-01-16,Biotech,Israel,17.0,36825273,6,7,2024-09-27,success
"Hanson, Mcdonald and Ramirez",2022-05-30,Biotech,US,7.0,36918838,3,10,2023-12-01,fail
"Anderson, Peterson and Sanchez",2017-04-18,E-Commerce,US,0.0,7514925,1,1,,success
Perez-Chan,2015-11-12,,Israel,12.0,18350413,4,1,2022-11-16,fail
Mclaughlin and Sons,2010-11-19,SaaS,Germany,4.0,12223245,8,5,2015-06-10,success
Jacobson-Brown,2019-02-13,HealthTech,Singapore,1.0,20224460,1,8,2023-11-01,fail
Bruce Ltd,2015-08-01,HealthTech,US,0.0,17468817,1,4,2017-06-08,success
Butler PLC,2012-10-26,AI,Canada,,35050840,5,9,2017-07-01,success
Perez and Sons,2021-10-24,HealthTech,US,13.0,23956568,1,7,2025-03-31,fail
Swanson Group,2010-03-24,AI,Singapore,4.0,30076281,3,7,2016-07-07,success
Porter-Ochoa,2011-01-25,Gaming,US,8.0,16170597,2,6,2015-12-27,fail
"Bradley, Martinez and Mckee",2022-04-10,EdTech,US,18.0,14730231,1,2,2024-02-08,fail
Hernandez-Murray,2019-09-16,E-Commerce,UK,8.0,21189129,1,7,2020-11-28,fail
Harris-Holloway,2020-12-13,HealthTech,UK,7.0,17723900,5,5,2025-03-31,fail
Hoffman-Hensley,2017-05-23,E-Commerce,India,,13678828,1,4,2025-01-13,fail
Silva Ltd,2015-03-05,AI,Germany,6.0,29793718,6,7,2023-12-09,success
Jimenez-Navarro,2018-03-31,EdTech,US,14.0,12778856,1,2,2022-08-12,fail
"Reyes, Green and Cooper",2017-02-23,SaaS,India,1.0,19204034,3,3,2024-06-24,fail
Rodriguez PLC,2022-01-23,E-Commerce,US,4.0,10753306,5,3,2023-06-14,fail
Adams PLC,2017-04-26,Biotech,US,1.0,25463331,2,4,2024-05-04,fail
Koch-Soto,2021-08-07,SaaS,Canada,4.0,12676906,1,6,,fail
Adkins-Powell,2022-10-01,E-Commerce,US,0.0,13226916,4,3,2025-03-31,fail
"Graves, Ford and Baker",2014-09-26,AI,India,0.0,24475196,3,3,2019-07-20,fail
"Guerrero, Rogers and Miles",2013-02-04,,US,5.0,14766281,1,2,2014-03-05,success
Johnson-Chung,2010-12-12,FinTech,US,3.0,24539619,2,8,2013-04-25,fail
"Robertson, Steele and Stewart",2011-12-08,HealthTech,US,6.0,16882179,1,5,2014-07-07,fail
Douglas Inc,2019-03-22,AI,US,11.0,33745706,2,7,2021-09-01,fail
Russell PLC,2010-05-02,,India,7.0,16585132,5,3,2012-11-21,success
Small PLC,2012-04-03,FinTech,Singapore,6.0,27096495,8,6,2016-11-05,success
Gill-Adams,2019-12-18,Gaming,India,17.0,21640111,4,4,2021-06-22,success
"Rodriguez, Cole and Cameron",2021-03-13,HealthTech,US,5.0,13498235,4,3,2025-03-31,fail
"Harris, Thompson and Jordan",2011-12-20,AI,US,4.0,15223866,4,2,2013-02-10,fail
Williams and Sons,2012-08-13,FinTech,Singapore,2.0,19709820,3,3,2020-10-15,success
Jimenez-Matthews,2015-10-08,HealthTech,Germany,1.0,19695597,4,4,2018-02-04,fail
Baird-Matthews,2018-10-31,Gaming,Canada,0.0,10656058,4,4,2024-10-26,fail
Allen-Nielsen,2019-02-19,FinTech,US,1.0,13039404,1,1,2020-06-27,fail
"Church, Bass and Webb",2019-09-17,Gaming,US,1.0,11132224,2,4,2025-03-31,success
Clark-Shaffer,2010-02-08,E-Commerce,US,1.0,12175530,1,5,2013-09-22,fail
Clark Group,2020-12-19,HealthTech,India,4.0,11213567,2,4,2023-12-13,fail
Perez-Murphy,2012-03-06,Biotech,Germany,5.0,21520778,3,5,2021-08-05,success
Garcia-Sullivan,2011-08-02,FinTech,US,10.0,25723296,1,7,2016-04-07,fail
Haynes PLC,2011-12-07,EdTech,UK,14.0,13639206,1,2,2015-01-11,fail
Delgado and Sons,2013-09-07,FinTech,US,15.0,30989726,2,6,2014-09-11,fail
Clark-Murphy,2013-06-02,FinTech,Singapore,2.0,11227702,5,5,2023-02-05,fail
Richardson-Jones,2012-12-08,EdTech,India,11.0,7768098,2,6,2018-01-10,fail
Guzman Group,2018-02-04,FinTech,Israel,2.0,19907358,6,2,2025-03-31,fail
Rodriguez-King,2012-09-15,AI,Canada,4.0,30991275,3,6,2016-04-08,success
"Garcia, Brennan and Arnold",2014-10-11,FinTech,US,9.0,32416789,6,5,2019-09-17,fail
Smith and Sons,2012-02-18,E-Commerce,US,4.0,11550862,1,4,2019-11-15,fail
"Mullins, Henry and Watson",2022-12-22,Gaming,US,,8352546,4,1,2025-03-31,fail
"Stein, Adams and Brady",2015-12-28,Biotech,India,6.0,45678505,3,8,2020-04-28,fail
"Wallace, Heath and Salazar",2016-06-17,EdTech,US,7.0,13279506,2,4,2025-03-31,success
Davis-Schneider,2022-09-04,Biotech,UK,5.0,34040045,7,6,2025-03-31,success
"Morgan, Perez and Miller",2010-01-19,E-Commerce,Canada,0.0,9725469,1,3,2014-09-16,success
Adams and Sons,2019-03-14,AI,India,1.0,15185808,1,4,2025-03-31,fail
"Torres, Campbell and Wise",2020-07-21,AI,Israel,6.0,31844901,6,9,2024-02-05,success
Hart LLC,2022-01-18,FinTech,India,43.0,31164825,5,4,2025-03-31,success
"Carroll, Curry and Shepard",2022-11-30,AI,US,0.0,19607012,1,7,2025-03-31,success
"Arnold, Kirk and Carlson",2016-03-21,Gaming,US,1.0,9750494,2,1,2024-02-15,fail
Adams LLC,2010-02-05,AI,Canada,1.0,22443619,2,6,2012-07-06,fail
Carrillo Group,2020-12-28,,US,0.0,10798475,1,5,2022-07-04,success
"Ho, Dunn and Shelton",2022-08-13,EdTech,India,0.0,8781878,1,1,2025-03-31,fail
"Ford, Peterson and Estrada",2019-09-02,SaaS,US,11.0,24567046,1,6,2025-03-31,fail
Johnson Ltd,2015-04-06,FinTech,US,0.0,17848156,1,5,,fail
"Sparks, Blackwell and Santana",2021-10-30,AI,US,17.0,36315589,3,6,2023-01-18,fail
"Brown, Morgan and Parks",2011-01-27,,Israel,1.0,19363275,1,3,2012-02-04,success
"Peterson, Moreno and Gray",2022-05-28,E-Commerce,India,3.0,10579136,1,3,2025-03-31,fail
"Summers, Wright and Sharp",2015-04-24,HealthTech,Canada,9.0,24242954,3,3,2019-08-05,success
Foster Inc,2011-12-08,SaaS,Singapore,2.0,3980476,1,4,2017-07-20,success
Patterson and Sons,2011-05-24,EdTech,UK,17.0,14232847,1,5,2013-11-09,fail
Soto-Page,2013-06-30,Gaming,India,4.0,14400426,1,1,2021-03-29,fail
"Scott, Graham and Macias",2010-12-28,HealthTech,US,,17660661,1,3,2017-11-03,fail
White Inc,2015-04-14,SaaS,India,0.0,10237799,4,1,2017-01-20,success
